Платформа;Блок;Действие;Event Category;Event Action;Event Name;Event Value;dimension7;dimension23;dimension10;dimension11;dimension12;dimension14;dimension21;dimension22;dimension26;dimension27;dimension33;dimension34;dimension36;dimension37
iOS, Android, Web;Расчет стоимости;Показ подсказки кэшбэк;Payment;CostCalculation_Cashback_HintShow;;;id брони;ID Города Суточно;Количество бонусов на счету пользователя;Сумма кэшбэка объекта;Добавлен ли объект в избранное на момент бронирования;Рэйтинг объекта;Тип объекта (Hotel, Appart);Тип бронирования (Fast, Reqest);ID Страны к которой относится объект;Валюта объекта (RUB, USD, ...);Состав гостей;Модель оплаты (100/20);Дата заезда (DD.MM.YYYY);Дата выезда (DD.MM.YYYY)
iOS, Android, Web;Расчет стоимости;Показ подсказки сведения об исполнителе;Payment;CostCalculation_Executor_HintShow;;;id брони;ID Города Суточно;Количество бонусов на счету пользователя;Сумма кэшбэка объекта;Добавлен ли объект в избранное на момент бронирования;Рэйтинг объекта;Тип объекта (Hotel, Appart);Тип бронирования (Fast, Reqest);ID Страны к которой относится объект;Валюта объекта (RUB, USD, ...);Состав гостей;Модель оплаты (100/20);Дата заезда (DD.MM.YYYY);Дата выезда (DD.MM.YYYY)
iOS, Android, Web;;Нажал оплатить (Промежуточный экран в МП);Payment;Payment_ClickPay_Step1;;Сумма на кнопке;id брони;ID Города Суточно;Количество бонусов на счету пользователя;Сумма кэшбэка объекта;Добавлен ли объект в избранное на момент бронирования;Рэйтинг объекта;Тип объекта (Hotel, Appart);Тип бронирования (Fast, Reqest);ID Страны к которой относится объект;Валюта объекта (RUB, USD, ...);Состав гостей;Модель оплаты (100/20);Дата заезда (DD.MM.YYYY);Дата выезда (DD.MM.YYYY)
iOS, Android, Web;;Нажал оплатить;Payment;Payment_ClickPay;"Выбранный способ оплаты (SBP, CardRF, CardInternational, Balance)

Если часть суммы с баланса а часть с другого платежного метода. Передаем 2 значения через запятую";Сумма на кнопке;id брони;ID Города Суточно;Количество бонусов на счету пользователя;Сумма кэшбэка объекта;Добавлен ли объект в избранное на момент бронирования;Рэйтинг объекта;Тип объекта (Hotel, Appart);Тип бронирования (Fast, Reqest);ID Страны к которой относится объект;Валюта объекта (RUB, USD, ...);Состав гостей;Модель оплаты (100/20);Дата заезда (DD.MM.YYYY);Дата выезда (DD.MM.YYYY)
iOS, Android, Web;;Нажал получить ссылку;Payment;Payment_GetLink;;;id брони;ID Города Суточно;Количество бонусов на счету пользователя;Сумма кэшбэка объекта;Добавлен ли объект в избранное на момент бронирования;Рэйтинг объекта;Тип объекта (Hotel, Appart);Тип бронирования (Fast, Reqest);ID Страны к которой относится объект;Валюта объекта (RUB, USD, ...);Состав гостей;Модель оплаты (100/20);Дата заезда (DD.MM.YYYY);Дата выезда (DD.MM.YYYY)
iOS, Android, Web;Модальное окно оплата по ссылке;Показ окна;Payment;LinkPaymentModal_Show;;;id брони;ID Города Суточно;Количество бонусов на счету пользователя;Сумма кэшбэка объекта;Добавлен ли объект в избранное на момент бронирования;Рэйтинг объекта;Тип объекта (Hotel, Appart);Тип бронирования (Fast, Reqest);ID Страны к которой относится объект;Валюта объекта (RUB, USD, ...);Состав гостей;Модель оплаты (100/20);Дата заезда (DD.MM.YYYY);Дата выезда (DD.MM.YYYY)
iOS, Android, Web;Модальное окно оплата по ссылке;Копировать ссылку;Payment;LinkPaymentModal_CopyLink;;;id брони;ID Города Суточно;Количество бонусов на счету пользователя;Сумма кэшбэка объекта;Добавлен ли объект в избранное на момент бронирования;Рэйтинг объекта;Тип объекта (Hotel, Appart);Тип бронирования (Fast, Reqest);ID Страны к которой относится объект;Валюта объекта (RUB, USD, ...);Состав гостей;Модель оплаты (100/20);Дата заезда (DD.MM.YYYY);Дата выезда (DD.MM.YYYY)
iOS, Android, Web;Модальное окно оплата по ссылке;Закрыть окно;Payment;LinkPaymentModal_Close;;;id брони;ID Города Суточно;Количество бонусов на счету пользователя;Сумма кэшбэка объекта;Добавлен ли объект в избранное на момент бронирования;Рэйтинг объекта;Тип объекта (Hotel, Appart);Тип бронирования (Fast, Reqest);ID Страны к которой относится объект;Валюта объекта (RUB, USD, ...);Состав гостей;Модель оплаты (100/20);Дата заезда (DD.MM.YYYY);Дата выезда (DD.MM.YYYY)
iOS, Android, Web;Окно успешной оплаты;Показ окна;Payment;Success;"Выбранный способ оплаты (SBP, CardRF, CardInternational, Balance)

Если часть суммы с баланса а часть с другого платежного метода. Передаем 2 значения через запятую";Внесенная предоплата;id брони;ID Города Суточно;Количество бонусов на счету пользователя;Сумма кэшбэка объекта;Добавлен ли объект в избранное на момент бронирования;Рэйтинг объекта;Тип объекта (Hotel, Appart);Тип бронирования (Fast, Reqest);ID Страны к которой относится объект;Валюта объекта (RUB, USD, ...);Состав гостей;Модель оплаты (100/20);Дата заезда (DD.MM.YYYY);Дата выезда (DD.MM.YYYY)
iOS, Android, Web;Окно успешной оплаты;Клик поделится;Payment;Success_ClickShare;;;id брони;ID Города Суточно;Количество бонусов на счету пользователя;Сумма кэшбэка объекта;Добавлен ли объект в избранное на момент бронирования;Рэйтинг объекта;Тип объекта (Hotel, Appart);Тип бронирования (Fast, Reqest);ID Страны к которой относится объект;Валюта объекта (RUB, USD, ...);Состав гостей;Модель оплаты (100/20);Дата заезда (DD.MM.YYYY);Дата выезда (DD.MM.YYYY)
